"lang"
{
"Language"	"spanish"
"Tokens"
{
"0_10_field { field_number: 4 }"	"Ataque"
"[english]0_10_field { field_number: 4 }"	"Offense"
"0_14_field { field_number: 4 }"	"Defensa"
"[english]0_14_field { field_number: 4 }"	"Defense"
"0_36_field { field_number: 4 }"	"La Escopeta"
"[english]0_36_field { field_number: 4 }"	"The Shotgun"
"3_1_field { field_number: 2 }"	"mercenary_park"
"[english]3_1_field { field_number: 2 }"	"mercenary_park"
"3_2_field { field_number: 2 }"	"pyrolandia"
"[english]3_2_field { field_number: 2 }"	"pyroland"
"3_3_field { field_number: 2 }"	"defensa"
"[english]3_3_field { field_number: 2 }"	"defense"
"3_4_field { field_number: 2 }"	"apoyo"
"[english]3_4_field { field_number: 2 }"	"support"
"3_6_field { field_number: 2 }"	"ataque"
"[english]3_6_field { field_number: 2 }"	"offense"
"3_7_field { field_number: 2 }"	"mapas"
"[english]3_7_field { field_number: 2 }"	"maps"
"4_25001_field { field_number: 5 }"	"Soldier"
"[english]4_25001_field { field_number: 5 }"	"Soldier"
"4_25014_field { field_number: 5 }"	"Matar"
"[english]4_25014_field { field_number: 5 }"	"Kill"
"4_25015_field { field_number: 6 }"	"¡Esta misión tiene todos los objetivos! ¡Guau!"
"[english]4_25015_field { field_number: 6 }"	"This quest has all the objectives!  Wow!"
"4_25019_field { field_number: 5 }"	"Eyeaduct"
"[english]4_25019_field { field_number: 5 }"	"Eyeaduct"
"4_25020_field { field_number: 5 }"	"Ghost Fort"
"[english]4_25020_field { field_number: 5 }"	"Ghost Fort"
"4_25020_field { field_number: 6 }"	"¿Apuestas a que GANARÁS este contrato? ¿Apostarías... TU PROPIA ALMA? ¡Jajaja! Por favor, ten en cuenta que no te estoy amenazando explícitamente, o firmarías este contrato bajo coacción. Eso... ¡caramba!, eso no sería bueno para Merasmus."
"[english]4_25020_field { field_number: 6 }"	"Bet you'll WIN this contract? Would you wager... YOUR VERY SOUL? Hahaha! Please note I'm not explicitly threatening you, or you'd be agreeing to this contract under duress. That... hoo boy, that would not be good for Merasmus."
"4_25021_field { field_number: 5 }"	"Helltower"
"[english]4_25021_field { field_number: 5 }"	"Helltower"
"4_25021_field { field_number: 6 }"	"¡Este contrato es INTRÍNSECAMENTE MALVADO! ¡A pesar de no tener validez legal! ¡Merasmus no fue a la facultad de derecho! ¡Obtuvo su título en las CALLES! ¡Las calles de HELLTOWER!"
"[english]4_25021_field { field_number: 6 }"	"This contract is EVIL ITSELF! Though not legally enforceable! Merasmus didn't go to law school! He got HIS diploma on the STREETS! The streets of HELLTOWER!"
"4_25022_field { field_number: 5 }"	"Carnival of Carnage"
"[english]4_25022_field { field_number: 5 }"	"Carnival of Carnage"
"4_25022_field { field_number: 6 }"	"Tienes un alma muy bonita. ¡Sería una pena que un mago la RECLAMARA cuando fracases en esta misión! ¡Ja, ja, ja, ja! Sí, Merasmus, muy fino. Sutil. Seguro que ni lo ha pillado. Lo has dejado caer ahí como quien no quiere la cosa."
"[english]4_25022_field { field_number: 6 }"	"That's a nice soul you have there. It would be a shame if a wizard were to CLAIM it when you fail this mission! Hahahaha! Yes, Merasmus, nice. Subtle. They probably didn't even get it. You just slipped it in there."
"4_25023_field { field_number: 5 }"	"Mann Manor"
"[english]4_25023_field { field_number: 5 }"	"Mann Manor"
"4_25024_field { field_number: 6 }"	"¡Estimado mortal! ¡Todo cuanto amas habrá muerto para cuando amanezca! Firmado: ¡Merasmus! Posdata: Yo seguiré vivo, ¡porque NI SIQUIERA ME GUSTAS!"
"[english]4_25024_field { field_number: 6 }"	"Dear Mortal! Everything you love will be dead by dawn! Signed, Merasmus! Postscript: I'll still be alive, because I DON'T EVEN LIKE YOU!"
"4_25025_field { field_number: 5 }"	"Gorge Event"
"[english]4_25025_field { field_number: 5 }"	"Gorge Event"
"4_25025_field { field_number: 6 }"	"Confío en que -- EJECUTARÁS -- este contrato al pie de la letra. Odiaría tener que -- LIQUIDARLO -- prematuramente. [risas] Espero que -- cumplas tus -- obligaciones... contractuales. ¿Sabes qué?, mándale un email a Merasmus si se te ocurre un final mejor para ese."
"[english]4_25025_field { field_number: 6 }"	"I trust you'll -- EXECUTE -- this contract to the letter. I'd hate to -- TERMINATE -- it prematurely. [laughs] I hope you -- fulfill your -- contractual... obligations. You know what, email Merasmus if you come up with a better ending for that one."
"4_25026_field { field_number: 5 }"	"Moonshine"
"[english]4_25026_field { field_number: 5 }"	"Moonshine Event"
"4_25026_field { field_number: 6 }"	"¡Una luna gibosa cuelga oscilante en el cielo nocturno, mortal! ¡Piensa que no puedes finalizar este contrato! ¿Te atreves a hacer quedar a la luna como una ESTÚPIDA?"
"[english]4_25026_field { field_number: 6 }"	"A gibbous moon hangs pendulously in the night sky, mortal! It thinks you cannot finish this contract! Dare you make the moon look STUPID?"
"4_25027_field { field_number: 5 }"	"Hellstone"
"[english]4_25027_field { field_number: 5 }"	"Hellstone"
"4_25028_field { field_number: 5 }"	"Sunshine Event"
"[english]4_25028_field { field_number: 5 }"	"Sinshine"
"4_25028_field { field_number: 6 }"	"Exterior, un cementerio. Hacemos zoom sobre un cadáver que sostiene un contrato manchado de sangre: ¡EL CADÁVER ERES TÚ! ¡En efecto! ¡Merasmus ha estado trabajando en un GRAN guion!"
"[english]4_25028_field { field_number: 6 }"	"Exterior, a graveyard. We zoom in on a corpse holding a blood-stained contract: THE CORPSE IS YOURS! That's right! Merasmus has been working on a GREAT screenplay!"
"4_25029_field { field_number: 5 }"	"Carga explosiva"
"[english]4_25029_field { field_number: 5 }"	"Payload"
"4_25031_field { field_number: 5 }"	"La Refrescopeta"
"[english]4_25031_field { field_number: 5 }"	"The Soda Popper"
"4_25034_field { field_number: 5 }"	"La Caja Negra"
"[english]4_25034_field { field_number: 5 }"	"The Black Box"
"4_25037_field { field_number: 5 }"	"Democaballero"
"[english]4_25037_field { field_number: 5 }"	"Demoknight"
"4_25039_field { field_number: 5 }"	"Focata"
"[english]4_25039_field { field_number: 5 }"	"Sandvich"
"4_25048_field { field_number: 5 }"	"Maestro del Disfraz"
"[english]4_25048_field { field_number: 5 }"	"Master of Disguise"
"4_25049_field { field_number: 5 }"	"Snowycoast"
"[english]4_25049_field { field_number: 5 }"	"Snowycoast"
"4_25053_field { field_number: 5 }"	"Maple Ridge"
"[english]4_25053_field { field_number: 5 }"	"Maple Ridge Event"
"4_25054_field { field_number: 5 }"	"Brimstone"
"[english]4_25054_field { field_number: 5 }"	"Brimstone"
"4_25055_field { field_number: 5 }"	"Pit of Death"
"[english]4_25055_field { field_number: 5 }"	"Pit of Death"
"4_25084_field { field_number: 5 }"	"PASA-Tiempo"
"[english]4_25084_field { field_number: 5 }"	"PASS Time"
"4_25099_field { field_number: 5 }"	"El Titán de Latón"
"[english]4_25099_field { field_number: 5 }"	"The Brass Beast"
"4_25133_field { field_number: 5 }"	"La Retroescopeta"
"[english]4_25133_field { field_number: 5 }"	"The Back Scatter"
"4_25203_field { field_number: 5 }"	"El Cabeza de Familia"
"[english]4_25203_field { field_number: 5 }"	"The Big Earner"
"4_25268_field { field_number: 5 }"	"Mossrock"
"[english]4_25268_field { field_number: 5 }"	"Mossrock"
"5_1004_field { field_number: 2 }"	"Conseguir puntos en Powerhouse: %s1"
"[english]5_1004_field { field_number: 2 }"	"Score points on Powerhouse: %s1"
"5_100_field { field_number: 2 }"	"Conseguir puntos como Scout: %s1"
"[english]5_100_field { field_number: 2 }"	"Score points as Scout: %s1"
"5_102_field { field_number: 2 }"	"Matar a un Demoman como Scout: %s1"
"[english]5_102_field { field_number: 2 }"	"Kill a Demoman as Scout: %s1"
"5_104_field { field_number: 2 }"	"Matar como Scout: %s1"
"[english]5_104_field { field_number: 2 }"	"Kill as Scout: %s1"
"5_105_field { field_number: 2 }"	"Matar a un Medic como Scout: %s1"
"[english]5_105_field { field_number: 2 }"	"Kill a Medic as Scout: %s1"
"5_107_field { field_number: 2 }"	"Matar con la Refrescopeta haciendo un triple salto: %s1"
"[english]5_107_field { field_number: 2 }"	"Kill with The Soda Popper while triple-jumping: %s1"
"5_108_field { field_number: 2 }"	"Curarse 100 de salud como Scout: %s1"
"[english]5_108_field { field_number: 2 }"	"Heal 100 health as Scout: %s1"
"5_1100_field { field_number: 2 }"	"Conseguir puntos en Snowplow: %s1"
"[english]5_1100_field { field_number: 2 }"	"Score points on Snowplow: %s1"
"5_110_field { field_number: 2 }"	"Matar a un enemigo aturdido como Scout: %s1"
"[english]5_110_field { field_number: 2 }"	"Kill a stunned enemy as Scout: %s1"
"5_112_field { field_number: 2 }"	"Víctima por minicrítico: %s1"
"[english]5_112_field { field_number: 2 }"	"Minicrit kill: %s1"
